,Neighborhood,City,Latitude,Longitude
115,Bahnhofsviertel,Frankfurt,50.10774145,8.66873601221096
116,Fechenheim,Frankfurt,50.12561975,8.75764981003691
117,Mainhattan,Frankfurt,50.1106444,8.682091699999999
118,Sachsenhausen,Frankfurt,50.1002618,8.6835988
119,Riederwald,Frankfurt,50.1263722,8.73392440477122
120,Ginnheim,Frankfurt,50.14506905,8.649152931926661
121,Bergen-Enkheim,Frankfurt,50.1576717,8.76255510785864
122,Eckenheim,Frankfurt,50.15156345,8.68237112573952
123,Griesheim,Frankfurt,50.10196989999999,8.59995959799628
124,Dornbusch,Frankfurt,50.14717045,8.669728689732551
125,Rödelheim,Frankfurt,50.12754395,8.60627805861801
126,Kalbach-Riedberg,Frankfurt,50.17340885,8.6419484994945
127,Sossenheim,Frankfurt,50.121086600000005,8.57331436636195
128,Innenstadt,Frankfurt,50.11287765,8.674921962131151
129,Bonames,Frankfurt,50.18235405,8.66409650339045
130,Flughafen,Frankfurt,50.04303025,8.567283919206
131,Hausen,Frankfurt,50.13470325,8.62750717118274
132,Nieder-Eschbach,Frankfurt,50.201333899999995,8.66714625072703
133,Berkersheim,Frankfurt,50.1711657,8.70119132512906
134,Höchst,Frankfurt,50.0976871,8.53844921885897
135,Gutleutviertel,Frankfurt,50.0978128,8.65076020625548
136,Unterliederbach,Frankfurt,50.1096205,8.52286237955801
137,Niederursel,Frankfurt,50.16898715,8.62234834505413
138,Praunheim,Frankfurt,50.147194799999994,8.616736652903791
139,Altstadt,Frankfurt,50.11104545,8.682935726985411
140,Westend,Frankfurt,50.118164,8.662588900000001
141,Nied,Frankfurt,50.1025967,8.57050189934911
142,Frankfurter Berg,Frankfurt,50.17066305,8.67565802894848
143,Seckbach,Frankfurt,50.1434285,8.725886099999999
144,Zeilsheim,Frankfurt,50.09750985,8.4960465922122
145,Oberrad,Frankfurt,50.098790799999996,8.72740333345432
146,Europaviertel,Frankfurt,50.1083286,8.6346455
147,Bankenviertel,Frankfurt,50.110589000000004,8.672952
148,Nordend,Frankfurt,50.1249136,8.67795
149,Niederrad,Frankfurt,50.08647665,8.63952576210809
150,Eschersheim,Frankfurt,50.1612049,8.66261247862046
151,Bockenheim,Frankfurt,50.12236065,8.637531996930129
152,Bornheim,Frankfurt,50.13305575,8.71493241229322
153,Preungesheim,Frankfurt,50.1534246,8.69908389304919
154,Sindlingen,Frankfurt,50.077589200000006,8.51172312566463
155,Nieder-Erlenbach,Frankfurt,50.2087835,8.706799922024059
156,Heddernheim,Frankfurt,50.15820405,8.64150708079413
157,Ngau Tau Kok,Hong Kong,22.31551165,114.219092318285
158,Tsim Sha Tsui East,Hong Kong,22.2971803,114.17220490000001
