,name,category
873,Watch Shop,Shop & Service
874,Airport Food Court,Travel & Transport
875,Airport Gate,Travel & Transport
876,Airport Lounge,Travel & Transport
877,Airport Service,Travel & Transport
878,Airport Terminal,Travel & Transport
879,Airport Tram,Travel & Transport
880,Baggage Claim,Travel & Transport
881,Plane,Travel & Transport
882,Airport,Travel & Transport
883,Baggage Locker,Travel & Transport
884,Bike Rental / Bike Share,Travel & Transport
885,Boat Rental,Travel & Transport
886,Boat or Ferry,Travel & Transport
887,Border Crossing,Travel & Transport
888,Bus Line,Travel & Transport
889,Bus Station,Travel & Transport
890,Bus Stop,Travel & Transport
891,Cable Car,Travel & Transport
892,Cruise,Travel & Transport
893,Duty-free Shop,Travel & Transport
894,General Travel,Travel & Transport
895,Heliport,Travel & Transport
896,Bed & Breakfast,Travel & Transport
897,Boarding House,Travel & Transport
898,Hostel,Travel & Transport
899,Hotel Pool,Travel & Transport
900,Inn,Travel & Transport
901,Motel,Travel & Transport
902,Resort,Travel & Transport
903,Vacation Rental,Travel & Transport
904,Hotel,Travel & Transport
905,Intersection,Travel & Transport
906,Light Rail Station,Travel & Transport
907,Metro Station,Travel & Transport
908,Moving Target,Travel & Transport
909,Pier,Travel & Transport
910,Port,Travel & Transport
911,RV Park,Travel & Transport
912,Rental Car Location,Travel & Transport
913,Rest Area,Travel & Transport
914,Road,Travel & Transport
915,Taxi Stand,Travel & Transport
916,Taxi,Travel & Transport
917,Toll Booth,Travel & Transport
918,Toll Plaza,Travel & Transport
919,Tourist Information Center,Travel & Transport
920,Platform,Travel & Transport
921,Train,Travel & Transport
922,Train Station,Travel & Transport
923,Tram Station,Travel & Transport
924,Transportation Service,Travel & Transport
925,Travel Lounge,Travel & Transport
926,Tunnel,Travel & Transport
