,Neighborhood,Latitude,Longitude
0,Wakefield,40.89470517661,-73.84720052054902
1,Co-op City,40.87429419303012,-73.82993910812398
2,Eastchester,40.887555677350775,-73.82780644716412
3,Fieldston,40.89543742690383,-73.90564259591682
4,Riverdale,40.890834493891305,-73.9125854610857
5,Kingsbridge,40.88168737120521,-73.90281798724604
6,Marble Hill,40.87655077879964,-73.91065965862981
7,Woodlawn,40.89827261213805,-73.86731496814176
8,Norwood,40.87722415599446,-73.8793907395681
9,Williamsbridge,40.88103887819211,-73.85744642974207
10,Baychester,40.866858107252696,-73.83579759808117
11,Pelham Parkway,40.85741349808865,-73.85475564017999
12,City Island,40.84724670491813,-73.78648845267413
13,Bedford Park,40.870185164975325,-73.8855121841913
14,University Heights,40.85572707719664,-73.9104159619131
15,Morris Heights,40.84789792606271,-73.91967159119565
16,Fordham,40.86099679638654,-73.89642655981623
17,East Tremont,40.84269615786053,-73.88735617532338
18,West Farms,40.83947505672653,-73.87774474910545
19,High  Bridge,40.836623010706056,-73.9261020935813
20,Melrose,40.819754370594936,-73.90942160757436
21,Mott Haven,40.80623874935177,-73.91609987487575
22,Port Morris,40.801663627756206,-73.91322139386135
23,Longwood,40.81509904545822,-73.8957882009446
24,Hunts Point,40.80972987938709,-73.88331505955291
25,Morrisania,40.82359198585534,-73.90150648943059
26,Soundview,40.821012197914015,-73.86574609554924
27,Clason Point,40.80655112003589,-73.85414416189266
28,Throgs Neck,40.81510925804005,-73.81635002158441
29,Country Club,40.844245936947374,-73.8240992675385
30,Parkchester,40.837937822267286,-73.85600310535783
31,Westchester Square,40.8406194964327,-73.84219407604444
32,Van Nest,40.84360847124718,-73.8662991807561
33,Morris Park,40.847549063536334,-73.85040178030421
34,Belmont,40.85727710073895,-73.88845196134804
35,Spuyten Duyvil,40.88139497727086,-73.91719048210393
36,North Riverdale,40.90854282950666,-73.90453054908927
37,Pelham Bay,40.85064140940335,-73.8320737824047
38,Schuylerville,40.82657951686922,-73.82620275994073
39,Edgewater Park,40.821986118163494,-73.81388514428619
40,Castle Hill,40.819014376988314,-73.84802729582735
41,Olinville,40.87137078192371,-73.86332361652777
42,Pelham Gardens,40.86296562477998,-73.84161194831223
43,Concourse,40.83428380733851,-73.91558941773444
44,Unionport,40.82977429787161,-73.85053524451935
45,Edenwald,40.88456130303732,-73.84808271877168
46,Bay Ridge,40.625801065010656,-74.03062069353813
47,Bensonhurst,40.61100890202044,-73.99517998380729
48,Sunset Park,40.64510294925429,-74.01031618527784
49,Greenpoint,40.7302009848647,-73.95424093127393
50,Gravesend,40.59526001306593,-73.97347087708445
51,Brighton Beach,40.57682506566604,-73.96509448785336
52,Sheepshead Bay,40.58689012678384,-73.94318640482979
53,Manhattan Terrace,40.61443251335098,-73.95743840559939
54,Flatbush,40.63632589026677,-73.95840106533903
55,Crown Heights,40.67082917695294,-73.94329119073582
56,East Flatbush,40.64171776668961,-73.93610256185836
57,Kensington,40.642381958003526,-73.98042110559474
58,Windsor Terrace,40.65694583575104,-73.98007340430172
59,Prospect Heights,40.676822262254724,-73.9648592426269
60,Brownsville,40.66394994339755,-73.91023536176607
61,Williamsburg,40.70714439344251,-73.95811529220927
62,Bushwick,40.69811611017901,-73.92525797487045
63,Bedford Stuyvesant,40.687231607720456,-73.94178488690297
64,Brooklyn Heights,40.695863722724084,-73.99378225496424
65,Cobble Hill,40.687919722485574,-73.99856139218463
66,Carroll Gardens,40.680540231076485,-73.99465372828006
67,Red Hook,40.676253230250886,-74.0127589747356
68,Gowanus,40.673931143187154,-73.99444087145339
69,Fort Greene,40.68852726018977,-73.97290574369092
70,Park Slope,40.67232052268197,-73.97705030183924
71,Cypress Hills,40.68239101144211,-73.87661596457296
72,East New York,40.669925700847045,-73.88069863917366
73,Starrett City,40.64758905230874,-73.87936970045875
74,Canarsie,40.63556432797428,-73.90209269778966
75,Flatlands,40.630446043757466,-73.92911302644674
76,Mill Island,40.606336421685626,-73.90818571777423
77,Manhattan Beach,40.57791350308657,-73.94353722891886
78,Coney Island,40.57429256471601,-73.98868295821637
79,Bath Beach,40.59951870282238,-73.99875221443519
80,Borough Park,40.633130512758015,-73.99049823044811
81,Dyker Heights,40.619219457722636,-74.01931375636022
82,Gerritsen Beach,40.590848433902046,-73.93010170691196
83,Marine Park,40.609747779894604,-73.93134404108497
84,Clinton Hill,40.693229421881504,-73.96784306216367
85,Sea Gate,40.57637537890224,-74.0078731120024
86,Downtown,40.69084402109802,-73.98346337431099
87,Boerum Hill,40.685682912091444,-73.98374824115798
88,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713
89,Ocean Hill,40.678402554795355,-73.91306831787395
90,City Line,40.67856995727479,-73.86797598081334
91,Bergen Beach,40.61514955045308,-73.89855633630317
92,Midwood,40.62559589869843,-73.95759523489838
93,Prospect Park South,40.647008603185185,-73.96261316716048
94,Georgetown,40.62384524478419,-73.91607483951324
95,East Williamsburg,40.70849241041548,-73.93885815269195
96,North Side,40.714822906532014,-73.95880857587582
97,South Side,40.71086147265064,-73.95800095153331
98,Ocean Parkway,40.61305976667942,-73.96836678035541
99,Fort Hamilton,40.61476812694226,-74.03197914537984
100,Chinatown,40.71561842231432,-73.99427936255978
101,Washington Heights,40.85190252555305,-73.93690027985234
102,Inwood,40.86768396449915,-73.92121042203897
103,Hamilton Heights,40.823604284811935,-73.94968791883366
104,Manhattanville,40.8169344294978,-73.9573853935188
105,Central Harlem,40.81597606742414,-73.94321112603905
106,East Harlem,40.79224946663033,-73.94418223148524
107,Upper East Side,40.775638573301805,-73.96050763135
108,Yorkville,40.775929849884875,-73.94711784471826
109,Lenox Hill,40.76811265828733,-73.9588596881376
110,Roosevelt Island,40.76215960576283,-73.94916769227953
111,Upper West Side,40.787657998534854,-73.97705923630603
112,Lincoln Square,40.77352888942166,-73.98533777001262
113,Clinton,40.75910089146212,-73.99611936309479
114,Midtown,40.75469110270623,-73.98166882730304
115,Murray Hill,40.748303077252174,-73.97833207924127
116,Chelsea,40.744034706747975,-74.00311633472813
117,Greenwich Village,40.72693288536128,-73.99991402945902
118,East Village,40.727846777270244,-73.98222616506416
119,Lower East Side,40.71780674892765,-73.98089031999291
120,Tribeca,40.721521967443216,-74.01068328559087
121,Little Italy,40.71932379395907,-73.99730467208073
122,Soho,40.72218384131794,-74.00065666959759
123,West Village,40.73443393572434,-74.00617998126812
124,Manhattan Valley,40.797307041702865,-73.96428617740655
125,Morningside Heights,40.807999738165826,-73.96389627905332
126,Gramercy,40.737209832715,-73.98137594833541
127,Battery Park City,40.71193198394565,-74.01686930508617
128,Financial District,40.70710710727048,-74.0106654452127
